,id,prediction0,prediction1
0,"Wenn das einzige Risiko durch AstraZeneca ist, eine Trombose zu bekommen, warum gibt es nicht für jeden Impfling einfach eine ASS100 dazu, oder täglich ne Woche vorher und danach. Dann geht man doch auf Nummer sicher. In unserem Impfzentrum haben 90 % aller Impflinge das sowieso auf ihrer Medikamentenliste. Das schadet also beim Impfen nicht und das Thema Trombose wäre vom Tisch. Impfen, um kein Corona zu bekommen, ist so viel wichtiger.",0.8074347376823425,0.19256529211997986
1,Sie zeigen täglich mit Ihren Entscheidungen das sie (16 + 1) vollkommen überfordert sind und das überspielen Ihrer gemachten Fehler mit nicht nachvollziehbar en Entscheidungen macht das ganze auch nicht besser.,0.7074710726737976,0.29252898693084717
2,"Gut so. Das war das Schlimmste, was je in der Presse gezeigt wurde. Wiederlicher Mord",0.6989262104034424,0.3010737895965576
3,Früher mal eine Nachrichtensendung -jetzt der Ar….. von Kim Kardashian mal eben ganz fluffig nach einem Beitrag zu einem terroristischen Anschlag gestern    .Interessante Entwicklung,0.2823718190193176,0.7176281809806824
4,"Diktatur ist, wenn Beamte und Richter den Parteien und nicht dem Staat dienen und die Medien gleichgeschaltet sind.",0.7612342238426208,0.23876576125621796
5,"Auf zum Achtelfinale nach London... Wir holen uns wenigstens die Deltavariante, wenn wir schon den Titel nicht bekommen... 🤷‍♂️",0.6931422352790833,0.30685776472091675
6,"1/3tel abbauen, die anderen 2/3tel neu besetzen oder wieder wählen; einige besser nicht. Angefangen mit denen, die die Transparenzregeln nicht einhalten, die die durch Nebeneinkünfte auffallen und solche, die Steuergelder wider besseren Wissens verschwenden. Desweiteren sollten alle gehen, bei denen ein Anfangsverdacht für eine Straftat oder ein Dienstversäumnis besteht. Das wäre schon einmal ein guter Anfang.",0.883419394493103,0.11658061295747757
7,"Jede/ r trägt in den Entscheidungen, die wie auch immer getroffen werden, eine eigene Verantwortung. Wir als Familie haben uns nach einer wochenlangen anstrengenden Auseinandersetz ung und Abwägen von Pro/ Contra entschlossen die Impfung zu machen . Im August sind wir alle komplett geimpft. Es war für jeden Einzelnen ein anstrengender Prozess , wir sind alle unterschiedliche Persönlichkeite n , aber was wirklich entscheidend gewesen ist : Wir sind eine Familie und wir tragen für einander Verantwortung. Gestern habe ich die zweite Impfung erhalten. Anstrengend, wirft viele Fragen in mir auf _ aber auch nach all diesen Monaten ein wenig Entlastung. Wie auch immer eure Entscheidungen sind: Habt Respekt füreinander.",0.9462962746620178,0.05370374768972397
8,"Wenn es um Gerechtigkeit geht, dann gibt es KEINE Priorisierung",0.9017446637153625,0.09825535863637924
9,"Ein einziges Chaos, weder Mut, noch Handlung, noch Kreativität. Verstaubte vollkaskoversic herte Politiker treffen Entscheidungen und ENTSCHULDIGEN sich dafür 🤮 schlimmer gehts nimmer ‼️ Ach und: UNBEDINGT den Lauterbach wieder einladen, das bringt doch jedes Mal wieder einen neuen Blickwinkel 🥶😡 Eine sehr, sehr mütende Bürgerin ‼️",0.04386492073535919,0.956135094165802
10,Was hat Blume mit der Wahl in Sachsen Anhalt zu tun ?,0.6022176146507263,0.3977823555469513
11,"Zunächst muss den Schleusern Einhalt geboten werden, sonst ist es eine unendliche Geschichte. Dann in den Herkunftsländer n helfen. Kontrollieren, wohin das Geld geht, wenn möglich Hilfe vor Ort. Die Ärmsten machen sich nicht auf den Weg, denn die können ja nicht die Schleuser bezahlen. Kinder, die unter Hunger und Durst, Krankheiten leiden, da muss dringend was getan werden. Deutschland allein kann nicht die ganze Welt retten. Lösungen finden, nicht nur reden. Und vor allem nicht jammern, wenn kein Wohnraum mehr in Deutschland zu finden ist.",0.7706146836280823,0.22938530147075653
